"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 04 01:30:04 GMT+04:00 2020","Thu Jun 04 01:30:11 GMT+04:00 2020","6708","Default Suite","lab6.1.1","ru.volsu.qa.ui.RegistrationNegativeTests","ru.volsu.qa.ui.RegistrationNegativeTests","testAccountCreationFormNegative","testAccountCreationFormNegative","Verify user registration with incorrect address value."
"passed","Thu Jun 04 01:29:56 GMT+04:00 2020","Thu Jun 04 01:30:00 GMT+04:00 2020","4361","Default Suite","lab6.1.1","ru.volsu.qa.ui.RegistrationNegativeTests","ru.volsu.qa.ui.RegistrationNegativeTests","registerAccountNegativeTest","registerAccountNegativeTest","Verify user registration with incorrect email value."
"passed","Thu Jun 04 01:30:13 GMT+04:00 2020","Thu Jun 04 01:30:22 GMT+04:00 2020","8451","Default Suite","lab6.1.1","ru.volsu.qa.ui.RegistrationTests","ru.volsu.qa.ui.RegistrationTests","registerAccount","registerAccount","Verify user registration correct value."
"passed","Thu Jun 04 01:29:49 GMT+04:00 2020","Thu Jun 04 01:29:52 GMT+04:00 2020","3530","Default Suite","lab6.1.1","ru.volsu.qa.ui.RegistrationNegativeTests","ru.volsu.qa.ui.RegistrationNegativeTests","registerAccountNegativeTest","registerAccountNegativeTest","Verify user registration with incorrect email value."
